rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,weighted_accuracy,tooquick,stimulus_middle,problems,smooth,distraction,strategies,easier,similar,comments
null,,prac_atten_color_black,216531,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
634.4000000003725,,prac_atten_color,217398,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,219400,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,219942,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
338.20000000018626,,prac_atten_color,220801,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,222805,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,223358,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
568,,prac_atten_color,224013,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,226015,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
7689.5,,attentioncheck_feedback,233708,,,,cross_check_feedback,0,,,,,,,,,,,,,,,,,,,,,,,
12421.900000000373,,last_instruct,246133,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),249638,,,,black_plus_sign,,,null,object_05a.png,object_08b.png,,,,,,,,,,,,,,,,,,,
null,,prac_black_cross(without_color),250117,,,,blue,,,null,object_05a.png,object_08b.png,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,250620,,,,blue,,,null,object_05a.png,object_08b.png,,,,,,,,,,,,,,,,,,,
1109.2000000001863,,prac_rt_thecrossant_black,252149,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,,,
null,,prac_color_black,252255,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),255762,,,,black_plus_sign,,,null,object_02c.png,object_07a.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,256210,,,,green,,,null,object_05a.png,object_08b.png,,,,,,,,,,,,,,,,,,,
489.29999999981374,,prac_rt_plussign_withcolor,256713,,,,green,,,50,object_02c.png,object_07a.png,,,,,,,,,,,,,,,,,,,
null,,prac_rt_thecrossant_black,257968,,,,black_plus_sign,,,null,,,1,1,,,,,,,,,,,,,,,,,
null,,prac_color_black,258071,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),261577,,,,black_plus_sign,,,null,object_04a.png,object_06b.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,262025,,,,green,,,null,object_05a.png,object_08b.png,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,262541,,,,blue,,,null,object_04a.png,object_06b.png,,,,,,,,,,,,,,,,,,,
953.2999999998137,,prac_rt_thecrossant_black,263969,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,,,
null,,prac_color_black,264085,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),267590,,,,black_plus_sign,,,null,object_09a.png,object_04c.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,268038,,,,green,,,null,object_05a.png,object_08b.png,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,268540,,,,green,,,null,object_09a.png,object_04c.png,,,,,,,,,,,,,,,,,,,
1138,,prac_rt_thecrossant_black,269908,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,
null,,prac_color_black,270011,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
8883.400000000373,,instruct_dir_01,278899,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,
10102.100000000559,,instruct_dir_2,289004,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
5820.799999999814,,instruct_dir_3,294827,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
17278.200000000186,,instruct_dir_4,312107,,,,instruct,1,Start,,,,,,,,,,,,,,,,,,,,,,
null,,thebreak,312210,,,,<p></p>,,,null,,,,,,,,,,,,,,,,,,,,,
1956.6000000005588,,intro_0,314169,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,
11985.399999999441,,prac_directmemory_phase,326159,,,,practice/object_02a.png,,,51,,,1,,practice/object_01b.png,practice/object_03a.png,practice/object_02b.png,practice/object_02b.png,1,1,,,,,,,,,,,
6209.700000000186,,prac_directmemory_phase,332376,,,,practice/object_01a.png,,,50,,,0,,practice/object_01b.png,practice/object_03b.png,practice/object_04a.png,practice/object_01b.png,0,0.5,,,,,,,,,,,
4385,,prac_directmemory_phase,336767,,,,practice/object_04a.png,,,50,,,1,,practice/object_02a.png,practice/object_04b.png,practice/object_02b.png,practice/object_04b.png,1,0.6666666666666666,,,,,,,,,,,
2534.899999999441,,prac_directmemory_phase,339306,,,,practice/object_03a.png,,,51,,,0,,practice/object_04a.png,practice/object_03b.png,practice/object_04b.png,practice/object_03b.png,0,0.5,,,,,,,,,,,
11403.899999999441,,practice_feedback_force_restart,350713,,,,practice_feedback,0,,,,,,,,,,,,,1,,,,,,,,,,
2735.9000000003725,,last_instruct,353450,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),356955,,,,black_plus_sign,,,null,object_05a.png,object_08b.png,,,,,,,,,,,,,,,,,,,
null,,prac_black_cross(without_color),357786,,,,blue,,,null,object_05a.png,object_08b.png,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,358289,,,,blue,,,null,object_05a.png,object_08b.png,,,,,,,,,,,,,,,,,,,
1581.2999999998137,,prac_rt_thecrossant_black,359466,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,,,
null,,prac_color_black,359570,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),363077,,,,black_plus_sign,,,null,object_02c.png,object_07a.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,363525,,,,green,,,null,object_05a.png,object_08b.png,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,364028,,,,green,,,null,object_02c.png,object_07a.png,,,,,,,,,,,,,,,,,,,
1185.7999999998137,,prac_rt_thecrossant_black,364947,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,
null,,prac_color_black,365059,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),368564,,,,black_plus_sign,,,null,object_04a.png,object_06b.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,369011,,,,green,,,null,object_05a.png,object_08b.png,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,369515,,,,blue,,,null,object_04a.png,object_06b.png,,,,,,,,,,,,,,,,,,,
1599.0999999996275,,prac_rt_thecrossant_black,370906,,,,black_plus_sign,,,49,,,1,1,,,,,,,,,,,,,,,,,
null,,prac_color_black,371012,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),374518,,,,black_plus_sign,,,null,object_09a.png,object_04c.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,374965,,,,green,,,null,object_05a.png,object_08b.png,,,,,,,,,,,,,,,,,,,
null,,prac_rt_plussign_withcolor,375467,,,,green,,,null,object_09a.png,object_04c.png,,,,,,,,,,,,,,,,,,,
1044.2999999998137,,prac_rt_thecrossant_black,376930,,,,black_plus_sign,,,50,,,1,1,,,,,,,,,,,,,,,,,
null,,prac_color_black,377035,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
4410.799999999814,,instruct_dir_01,381450,,,,instruct,0,Next,,,,,,,,,,,,,,,,,,,,,,
6774,,instruct_dir_2,388226,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
2054.2000000001863,,instruct_dir_3,390282,,,,instruct,1,Next,,,,,,,,,,,,,,,,,,,,,,
8021.9000000003725,,instruct_dir_4,398306,,,,instruct,1,Start,,,,,,,,,,,,,,,,,,,,,,
null,,thebreak,398408,,,,<p></p>,,,null,,,,,,,,,,,,,,,,,,,,,
2164.4000000003725,,intro_0,400574,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,
9898.100000000559,,prac_directmemory_phase,410476,,,,practice/object_02a.png,,,51,,,1,,practice/object_01b.png,practice/object_03a.png,practice/object_02b.png,practice/object_02b.png,1,1,,,,,,,,,,,
4866.100000000559,,prac_directmemory_phase,415347,,,,practice/object_01a.png,,,49,,,1,,practice/object_01b.png,practice/object_03b.png,practice/object_04a.png,practice/object_01b.png,1,1,,,,,,,,,,,
10672,,prac_directmemory_phase,426024,,,,practice/object_04a.png,,,50,,,1,,practice/object_02a.png,practice/object_04b.png,practice/object_02b.png,practice/object_04b.png,1,1,,,,,,,,,,,
5934.4000000003725,,prac_directmemory_phase,431962,,,,practice/object_03a.png,,,50,,,1,,practice/object_04a.png,practice/object_03b.png,practice/object_04b.png,practice/object_03b.png,1,1,,,,,,,,,,,
4197.799999999814,,practice_feedback,436162,,,,practice_feedback,1,,,,,,,,,,,,,,,,,,,,,,,
8365.200000000186,,proceed_actualTask,444529,,,,proceed_actualTask,1,Continue,,,,,,,,,,,,,,,,,,,,,,
7438.200000000186,,last_inst,451970,,,,last_inst,,,32,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,455473,,,,black_plus_sign,,,null,object_05a.png,object_08b.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,455921,,,,green,,,null,object_05a.png,object_08b.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,456423,,,,green,,,null,object_05a.png,object_08b.png,,,,,,,,,,,,,,,,,,,
1340.800000000745,,rt_thecrossant_black1,457984,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black1,458089,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,461596,,,,black_plus_sign,,,null,object_02c.png,object_07a.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,462650,,,,blue,,,null,object_02c.png,object_07a.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,463153,,,,blue,,,null,object_02c.png,object_07a.png,,,,,,,,,,,,,,,,,,,
1289.5,,rt_thecrossant_black1,464109,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black1,464212,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,467720,,,,black_plus_sign,,,null,object_04a.png,object_06b.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,468411,,,,green,,,null,object_04a.png,object_06b.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,468916,,,,green,,,null,object_04a.png,object_06b.png,,,,,,,,,,,,,,,,,,,
1416.0999999996275,,rt_thecrossant_black1,470235,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black1,470339,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,473844,,,,black_plus_sign,,,null,object_09a.png,object_04c.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,474506,,,,green,,,null,object_09a.png,object_04c.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,475011,,,,green,,,null,object_09a.png,object_04c.png,,,,,,,,,,,,,,,,,,,
1108.8999999994412,,rt_thecrossant_black1,476357,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black1,476462,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,479976,,,,black_plus_sign,,,null,object_09c.png,object_06a.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,480818,,,,blue,,,null,object_09c.png,object_06a.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,481322,,,,blue,,,null,object_09c.png,object_06a.png,,,,,,,,,,,,,,,,,,,
1679,,rt_thecrossant_black1,482487,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black1,482589,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,486093,,,,black_plus_sign,,,null,object_11c.png,object_09b.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,486859,,,,blue,,,null,object_11c.png,object_09b.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,487376,,,,blue,,,null,object_11c.png,object_09b.png,,,,,,,,,,,,,,,,,,,
1307.7000000001863,,rt_thecrossant_black1,488618,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black1,488723,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,492226,,,,black_plus_sign,,,null,object_08c.png,object_14a.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,492962,,,,green,,,null,object_08c.png,object_14a.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,493466,,,,green,,,null,object_08c.png,object_14a.png,,,,,,,,,,,,,,,,,,,
1154.2999999998137,,rt_thecrossant_black1,494739,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black1,494856,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,498362,,,,black_plus_sign,,,null,object_11a.png,object_02a.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,499231,,,,green,,,null,object_11a.png,object_02a.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,499735,,,,green,,,null,object_11a.png,object_02a.png,,,,,,,,,,,,,,,,,,,
1251.2999999998137,,rt_thecrossant_black1,500877,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black1,500984,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,504491,,,,black_plus_sign,,,null,object_15a.png,object_04b.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,505074,,,,blue,,,null,object_15a.png,object_04b.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,505576,,,,blue,,,null,object_15a.png,object_04b.png,,,,,,,,,,,,,,,,,,,
1067.699999999255,,rt_thecrossant_black1,507003,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black1,507107,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,510614,,,,black_plus_sign,,,null,object_10a.png,object_10b.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,511665,,,,blue,,,null,object_10a.png,object_10b.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,512168,,,,blue,,,null,object_10a.png,object_10b.png,,,,,,,,,,,,,,,,,,,
1087.7000000001863,,rt_thecrossant_black1,513133,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black1,513237,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,516741,,,,black_plus_sign,,,null,object_03b.png,object_11b.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,517448,,,,blue,,,null,object_03b.png,object_11b.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,517950,,,,blue,,,null,object_03b.png,object_11b.png,,,,,,,,,,,,,,,,,,,
1451.5999999996275,,rt_thecrossant_black1,519251,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black1,519357,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,522864,,,,black_plus_sign,,,null,object_14b.png,object_07c.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,523674,,,,blue,,,null,object_14b.png,object_07c.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,524176,,,,blue,,,null,object_14b.png,object_07c.png,,,,,,,,,,,,,,,,,,,
1109.6000000005588,,rt_thecrossant_black1,525374,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black1,525477,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,528982,,,,black_plus_sign,,,null,object_06c.png,object_05c.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,530009,,,,blue,,,null,object_06c.png,object_05c.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,530513,,,,blue,,,null,object_06c.png,object_05c.png,,,,,,,,,,,,,,,,,,,
1222.7000000001863,,rt_thecrossant_black1,531494,,,,black_plus_sign,,,49,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black1,531598,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,535103,,,,black_plus_sign,,,null,object_12a.png,object_12b.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,536120,,,,green,,,null,object_12a.png,object_12b.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,536623,,,,green,,,null,object_12a.png,object_12b.png,,,,,,,,,,,,,,,,,,,
1470.6000000005588,,rt_thecrossant_black1,537614,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black1,537717,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)1,541220,,,,black_plus_sign,,,null,object_13c.png,object_12c.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)1,541642,,,,green,,,null,object_13c.png,object_12c.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor1,542146,,,,green,,,null,object_13c.png,object_12c.png,,,,,,,,,,,,,,,,,,,
1343.0999999996275,,rt_thecrossant_black1,543731,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black1,543835,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,thebreak,543947,,,,<p></p>,,,null,,,,,,,,,,,,,,,,,,,,,
2790,,intro_0,546740,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,
10466,,directmemory_phase1,557209,,,,object_06b.png,,,50,,,1,,object_11c.png,object_04a.png,object_03b.png,object_04a.png,,1,,1,,,,,,,,,
7861.200000000186,,directmemory_phase1,565075,,,,object_15a.png,,,49,,,1,,object_04b.png,object_14a.png,object_11a.png,object_04b.png,,1,,1,,,,,,,,,
5347.799999999814,,directmemory_phase1,570428,,,,object_11b.png,,,49,,,1,,object_03b.png,object_04b.png,object_04c.png,object_03b.png,,1,,1,,,,,,,,,
null,,directmemory_phase1,585434,,,,object_04c.png,,,null,,,0,,object_06c.png,object_10a.png,object_09a.png,object_09a.png,,0.75,,0,,,,,,,,,
null,,warning_page,590441,,,,warning,,,null,,,,,,,,,,,,,,,,,,,,,
13477.299999999814,,directmemory_phase1,603923,,,,object_11c.png,,,51,,,1,,object_03b.png,object_14b.png,object_09b.png,object_09b.png,,0.8,,1,,,,,,,,,
6124,,directmemory_phase1,610054,,,,object_05a.png,,,50,,,1,,object_14b.png,object_08b.png,object_04b.png,object_08b.png,,0.8333333333333334,,1,,,,,,,,,
4295.899999999441,,directmemory_phase1,614356,,,,object_06a.png,,,51,,,1,,object_02a.png,object_05a.png,object_09c.png,object_09c.png,,0.8571428571428571,,1,,,,,,,,,
6025.5,,directmemory_phase1,620387,,,,object_07a.png,,,50,,,1,,object_04c.png,object_02c.png,object_10b.png,object_02c.png,,0.875,,1,,,,,,,,,
5678.200000000186,,directmemory_phase1,626071,,,,object_08c.png,,,49,,,0,,object_09c.png,object_06a.png,object_14a.png,object_14a.png,,0.7777777777777778,,0,,,,,,,,,
9561.799999999814,,directmemory_phase1,635639,,,,object_10a.png,,,49,,,1,,object_10b.png,object_09b.png,object_14b.png,object_10b.png,,0.8,,1,,,,,,,,,
12188,,directmemory_phase1,647834,,,,object_12c.png,,,50,,,1,,object_06b.png,object_13c.png,object_14a.png,object_13c.png,,0.8181818181818182,,1,,,,,,,,,
3297.199999999255,,directmemory_phase1,651135,,,,object_12a.png,,,50,,,1,,object_14b.png,object_12b.png,object_02c.png,object_12b.png,,0.8333333333333334,,1,,,,,,,,,
5958.300000000745,,directmemory_phase1,657098,,,,object_05c.png,,,51,,,1,,object_09a.png,object_04c.png,object_06c.png,object_06c.png,,0.8461538461538461,,1,,,,,,,,,
4061.5,,directmemory_phase1,661164,,,,object_14b.png,,,49,,,1,,object_07c.png,object_06c.png,object_05a.png,object_07c.png,,0.8571428571428571,,1,,,,,,,,,
5050.800000000745,,directmemory_phase1,666221,,,,object_11a.png,,,51,,,0,,object_04c.png,object_02a.png,object_06c.png,object_02a.png,,0.8,,0,,,,,,,,,
null,,thebreak,666326,,,,<p></p>,,,null,,,,,,,,,,,,,,,,,,,,,
1134.6000000005588,,intro_0,667464,,,,instruct,,,32,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)2,670967,,,,black_plus_sign,,,null,object_03b.png,object_11b.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)2,671755,,,,green,,,null,object_03b.png,object_11b.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor2,672256,,,,green,,,null,object_03b.png,object_11b.png,,,,,,,,,,,,,,,,,,,
1607.4000000003725,,rt_thecrossant_black2,673477,,,,black_plus_sign,,,50,,,1,,,,,,,1,,,,,,,,,,,
null,,color_black2,673579,,,,black_plus_sign,,,null,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color)2,677084,,,,black_plus_sign,,,null,object_11c.png,object_09b.png,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color)2,677914,,,,blue,,,null,object_11c.png,object_09b.png,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor2,678417,,,,blue,,,null,object_11c.png,object_09b.png,,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black2,679597,,,,black_plus_sign,,,null,,,,,,,,,,1,,,,,,,,,,,
