rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,failed_practice
672.7000000029802,,attentioncheck_help,48673,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,49241,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,49770,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,
null,,prac_atten_color_black,51778,,,,,,,,black_plus_sign,,,null,
460.1000000089407,,attentioncheck_help,52240,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,53129,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,53912,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,
null,,prac_atten_color_black,55924,,,,,,,,black_plus_sign,,,null,
600.8999999910593,,attentioncheck_help,56528,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,57174,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,57706,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,
null,,prac_atten_color_black,59718,,,,,,,,black_plus_sign,,,null,
568.1000000089407,,attentioncheck_help,60289,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,61178,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,62258,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,
null,,prac_atten_color_black,64262,,,,,,,,black_plus_sign,,,null,
599.5999999940395,,attentioncheck_help,64865,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,65196,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,65755,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,
null,,prac_atten_color_black,67766,,,,,,,,black_plus_sign,,,null,
18080.80000001192,,attentioncheck_feedback,85851,,,,,,,,cross_check_feedback,0,,,1
null,,prac_atten_color_black,86378,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,87271,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,
null,,prac_atten_color_black,89284,,,,,,,,black_plus_sign,,,null,
4810.29999999702,,attentioncheck_help,94097,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,94628,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,95096,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,
null,,prac_atten_color_black,97113,,,,,,,,black_plus_sign,,,null,
644.2999999970198,,attentioncheck_help,97761,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,98705,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,99283,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,
null,,prac_atten_color_black,101290,,,,,,,,black_plus_sign,,,null,
771.5999999940395,,attentioncheck_help,102065,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,102909,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,103631,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,
null,,prac_atten_color_black,105643,,,,,,,,black_plus_sign,,,null,
1488.7999999970198,,attentioncheck_help,107136,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,107834,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,108289,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,
null,,prac_atten_color_black,110301,,,,,,,,black_plus_sign,,,null,
512.7999999970198,,attentioncheck_help,110817,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,111779,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,112560,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,
null,,prac_atten_color_black,114574,,,,,,,,black_plus_sign,,,null,
447.20000000298023,,attentioncheck_help,115025,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,115674,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,116377,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,
null,,prac_atten_color_black,118389,,,,,,,,black_plus_sign,,,null,
680.6000000089407,,attentioncheck_help,119073,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,119793,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,120896,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,
null,,prac_atten_color_black,122911,,,,,,,,black_plus_sign,,,null,
446.30000001192093,,attentioncheck_help,123361,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,123688,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,124289,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,
null,,prac_atten_color_black,126294,,,,,,,,black_plus_sign,,,null,
519.8999999910593,,attentioncheck_help,126817,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,127634,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,128150,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,
null,,prac_atten_color_black,130166,,,,,,,,black_plus_sign,,,null,
2999.2999999970198,,attentioncheck_feedback,133168,,,,,,,,cross_check_feedback,0,,,2
null,,prac_atten_color_black,133992,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,134582,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,
null,,prac_atten_color_black,136594,,,,,,,,black_plus_sign,,,null,
619.4000000059605,,attentioncheck_help,137217,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,138045,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,138700,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,
null,,prac_atten_color_black,140713,,,,,,,,black_plus_sign,,,null,
564.0999999940395,,attentioncheck_help,141281,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,142057,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,142928,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,
null,,prac_atten_color_black,144936,,,,,,,,black_plus_sign,,,null,
678.3000000119209,,attentioncheck_help,145618,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,146167,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,147147,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,
null,,prac_atten_color_black,149162,,,,,,,,black_plus_sign,,,null,
659.0999999940395,,attentioncheck_help,149825,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,150269,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,151025,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,
null,,prac_atten_color_black,153030,,,,,,,,black_plus_sign,,,null,
680.1999999880791,,attentioncheck_help,153713,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,154372,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,155463,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,
null,,prac_atten_color_black,157477,,,,,,,,black_plus_sign,,,null,
520.8999999910593,,attentioncheck_help,158001,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,158335,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,159237,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,
null,,prac_atten_color_black,161250,,,,,,,,black_plus_sign,,,null,
571.9000000059605,,attentioncheck_help,161825,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,162345,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,163157,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,
null,,prac_atten_color_black,165170,,,,,,,,black_plus_sign,,,null,
730.5,,attentioncheck_help,165904,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,166514,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,167016,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,
null,,prac_atten_color_black,169035,,,,,,,,black_plus_sign,,,null,
803.2000000029802,,attentioncheck_help,169841,,,,,,,,instruct,,,32,
null,,prac_atten_color_black,170772,,,,,,,,black_plus_sign,,,null,
null,,prac_atten_color,171310,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,
null,,prac_atten_color_black,173319,,,,,,,,black_plus_sign,,,null,
