rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,accuracy,prac_weighted_accuracy,cumulative_accuracy,failed_practice
null,,prac_atten_color_black,164146,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,165221,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,
37.80000001192093,,prac_atten_color_black,167237,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,
null,,prac_atten_color_black,167592,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_atten_color,168287,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,
26.299999952316284,,prac_atten_color_black,170307,,,,,,,,black_plus_sign,,,49,,,,,,,,,,,
17983.80000001192,,attentioncheck_feedback,188293,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,,
12945,,last_instruct,201239,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,prac_learn_phase(without_color),204747,,,,,,,,black_plus_sign,,,null,object_02c.png,object_11c.png,,,,,,,,,
null,,prac_black_cross(without_color),205281,,,,,,,,green,,,null,object_02c.png,object_11c.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,205793,,,,,,,,green,,,null,object_02c.png,object_11c.png,,,,,,,,,
null,,prac_rt_thecrossant_black,207276,,,,,,,,black_plus_sign,,,null,,,NaN,,,,,,,,
null,,prac_color_black,207382,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_learn_phase(without_color),210894,,,,,,,,black_plus_sign,,,null,object_07a.png,object_15c.png,,,,,,,,,
null,,black_cross(without_color)1,211632,,,,,,,,green,,,null,object_02c.png,object_11c.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,212147,,,,,,,,blue,,,null,object_07a.png,object_15c.png,,,,,,,,,
null,,prac_rt_thecrossant_black,213216,,,,,,,,black_plus_sign,,,null,,,NaN,,,,,,,,
null,,warning_page,218227,,,,,,,,warning,,,null,,,,,,,,,,,
null,,prac_color_black,218335,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_learn_phase(without_color),221842,,,,,,,,black_plus_sign,,,null,object_09a.png,object_05b.png,,,,,,,,,
null,,black_cross(without_color)1,222570,,,,,,,,green,,,null,object_02c.png,object_11c.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,223072,,,,,,,,blue,,,null,object_09a.png,object_05b.png,,,,,,,,,
null,,prac_rt_thecrossant_black,224345,,,,,,,,black_plus_sign,,,null,,,NaN,,,,,,,,
null,,warning_page,229350,,,,,,,,warning,,,null,,,,,,,,,,,
null,,prac_color_black,229456,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
null,,prac_learn_phase(without_color),232967,,,,,,,,black_plus_sign,,,null,object_04c.png,object_07c.png,,,,,,,,,
null,,black_cross(without_color)1,233703,,,,,,,,green,,,null,object_02c.png,object_11c.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,234206,,,,,,,,green,,,null,object_04c.png,object_07c.png,,,,,,,,,
null,,prac_rt_thecrossant_black,235716,,,,,,,,black_plus_sign,,,null,,,NaN,,,,,,,,
null,,prac_color_black,235820,,,,,,,,black_plus_sign,,,null,,,,,,,,,,,
6248.600000023842,,instruct_dir_01,242071,,,,,,,,instruct,0,Next,,,,,,,,,,,,
11442.899999976158,,instruct_dir_2,253516,,,,,,,,instruct,1,Next,,,,,,,,,,,,
5312.199999988079,,instruct_dir_3,258830,,,,,,,,instruct,1,Next,,,,,,,,,,,,
19251.899999976158,,instruct_dir_4,278084,,,,,,,,instruct,1,Start,,,,,,,,,,,,
null,,thebreak,278192,,,,,,,,<p></p>,,,null,,,,,,,,,,,
2514,,intro_0,280707,,,,,,,,instruct,,,32,,,,,,,,,,,
9142.400000035763,,prac_directmemory_phase,289851,,,,,,,,practice/object_04b.png,,,49,,,,practice/object_04a.png,practice/object_01a.png,practice/object_03a.png,practice/object_04a.png,1,1,1,
7202,,prac_directmemory_phase,297056,,,,,,,,practice/object_02b.png,,,51,,,,practice/object_02a.png,practice/object_04a.png,practice/object_03a.png,practice/object_02a.png,0,0,0.5,
3067.699999988079,,prac_directmemory_phase,300126,,,,,,,,practice/object_03b.png,,,50,,,,practice/object_02a.png,practice/object_03a.png,practice/object_04a.png,practice/object_03a.png,1,1,0.6666666666666666,
2943.5,,prac_directmemory_phase,303071,,,,,,,,practice/object_01b.png,,,49,,,,practice/object_03a.png,practice/object_01a.png,practice/object_02a.png,practice/object_01a.png,0,0,0.5,
9772.199999988079,,practice_feedback_force_restart,312847,,,,,,,,practice_feedback,0,,,,,,,,,,,,,1
3094.899999976158,,last_instruct,315943,,,,,,,,instruct,,,32,,,,,,,,,,,
null,,prac_learn_phase(without_color),319454,,,,,,,,black_plus_sign,,,null,object_02c.png,object_11c.png,,,,,,,,,
null,,prac_black_cross(without_color),320100,,,,,,,,green,,,null,object_02c.png,object_11c.png,,,,,,,,,
null,,prac_rt_plussign_withcolor,320619,,,,,,,,green,,,null,object_02c.png,object_11c.png,,,,,,,,,
null,,prac_rt_thecrossant_black,322009,,,,,,,,black_plus_sign,,,null,,,NaN,,,,,,,,
