rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,tasktype,browser_type,local_time,UTC_time,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy
722.0000000000291,,prac_atten_color,169210,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,
null,,prac_atten_color_black,171213,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
null,,prac_atten_color_black,171790,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
553.0000000000291,,prac_atten_color,172751,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,
null,,prac_atten_color_black,174754,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
null,,prac_atten_color_black,175211,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
677,,prac_atten_color,176100,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,
null,,prac_atten_color_black,178103,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
null,,prac_atten_color_black,178628,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
565,,prac_atten_color,179372,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,
null,,prac_atten_color_black,181375,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
null,,prac_atten_color_black,182049,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
null,,prac_atten_color,182502,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,
242.9999999999709,,prac_atten_color_black,184506,,,,,,,,black_plus_sign,,,49,,,,,,,,,,
null,,prac_atten_color_black,185470,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
795.0000000000291,,prac_atten_color,186294,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,
null,,prac_atten_color_black,188298,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
null,,prac_atten_color_black,188891,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
null,,prac_atten_color,189322,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,
270,,prac_atten_color_black,191326,,,,,,,,black_plus_sign,,,49,,,,,,,,,,
null,,prac_atten_color_black,192313,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
null,,prac_atten_color,192928,,,,,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,
98,,prac_atten_color_black,194932,,,,,,,,black_plus_sign,,,49,,,,,,,,,,
9177,,attentioncheck_feedback,204116,,,,,,,,cross_check_feedback,0,,,,,,,,,,,,
24845,,last_instruct,228961,,,,,,,,instruct,,,32,,,,,,,,,,
null,,prac_learn_phase(without_color),232466,,,,,,,,black_plus_sign,,,null,object_10b.png,object_05b.png,,,,,,,,
null,,prac_black_cross(without_color),233024,,,,,,,,green,,,null,object_10b.png,object_05b.png,,,,,,,,
null,,prac_rt_plussign_withcolor,233527,,,,,,,,green,,,null,object_10b.png,object_05b.png,,,,,,,,
1544,,prac_rt_thecrossant_black,234988,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,
null,,prac_color_black,235095,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
null,,prac_learn_phase(without_color),238606,,,,,,,,black_plus_sign,,,null,object_10a.png,object_06a.png,,,,,,,,
null,,black_cross(without_color)1,239443,,,,,,,,green,,,null,object_10b.png,object_05b.png,,,,,,,,
null,,prac_rt_plussign_withcolor,239946,,,,,,,,blue,,,null,object_10a.png,object_06a.png,,,,,,,,
999,,prac_rt_thecrossant_black,240882,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,
null,,prac_color_black,240990,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
null,,prac_learn_phase(without_color),244499,,,,,,,,black_plus_sign,,,null,object_15b.png,object_01c.png,,,,,,,,
null,,black_cross(without_color)1,245335,,,,,,,,green,,,null,object_10b.png,object_05b.png,,,,,,,,
null,,prac_rt_plussign_withcolor,245838,,,,,,,,blue,,,null,object_15b.png,object_01c.png,,,,,,,,
1814,,prac_rt_thecrossant_black,246903,,,,,,,,black_plus_sign,,,49,,,1,1,,,,,,
null,,prac_color_black,247011,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
null,,prac_learn_phase(without_color),250521,,,,,,,,black_plus_sign,,,null,object_10b.png,object_10c.png,,,,,,,,
null,,black_cross(without_color)1,251357,,,,,,,,green,,,null,object_10b.png,object_05b.png,,,,,,,,
null,,prac_rt_plussign_withcolor,251860,,,,,,,,green,,,null,object_10b.png,object_10c.png,,,,,,,,
1873,,prac_rt_thecrossant_black,252804,,,,,,,,black_plus_sign,,,50,,,1,1,,,,,,
null,,prac_color_black,252912,,,,,,,,black_plus_sign,,,null,,,,,,,,,,
14229,,instruct_dir_01,267149,,,,,,,,instruct,0,Next,,,,,,,,,,,
6114,,instruct_dir_2,273265,,,,,,,,instruct,1,Next,,,,,,,,,,,
8114,,instruct_dir_3,281381,,,,,,,,instruct,1,Next,,,,,,,,,,,
7029.000000000058,,instruct_dir_4,288415,,,,,,,,instruct,1,Start,,,,,,,,,,,
null,,thebreak,288517,,,,,,,,<p></p>,,,null,,,,,,,,,,
2416,,intro_0,290936,,,,,,,,instruct,,,32,,,,,,,,,,
5547,,prac_directmemory_phase,296487,,,,,,,,practice/object_02a.png,,,49,,,1,,practice/object_02b.png,practice/object_01b.png,practice/object_01a.png,practice/object_02b.png,1,1
5660,,prac_directmemory_phase,302155,,,,,,,,practice/object_03a.png,,,50,,,1,,practice/object_01a.png,practice/object_03b.png,practice/object_02b.png,practice/object_03b.png,1,1
6864.999999999942,,prac_directmemory_phase,309028,,,,,,,,practice/object_01a.png,,,49,,,1,,practice/object_01b.png,practice/object_02b.png,practice/object_03a.png,practice/object_01b.png,1,1
2997,,prac_directmemory_phase,312034,,,,,,,,practice/object_04a.png,,,51,,,1,,practice/object_03b.png,practice/object_01a.png,practice/object_04b.png,practice/object_04b.png,1,1
10026,,practice_feedback,322067,,,,,,,,practice_feedback,1,,,,,,,,,,,,
12313,,proceed_actualTask,334381,,,,,,,,proceed_actualTask,0,End Early,,,,,,,,,,,
