rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,failed_practice,stimulus_left,stimulus_right,accuracy,practice_cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,weighted_accuracy,tooquick
null,,prac_atten_color_black,77703,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color,78376,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,
61.900000005960464,,prac_atten_color_black,80379,,,,black_plus_sign,,,50,,,,,,,,,,,,,
2181,,attentioncheck_help,82561,,,,instruct,,,32,,,,,,,,,,,,,
null,,prac_atten_color_black,83299,,,,black_plus_sign,,,null,,,,,,,,,,,,,
339,,prac_atten_color,84175,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,50,,,,,,,,,,,,,
null,,prac_atten_color_black,86176,,,,black_plus_sign,,,null,,,,,,,,,,,,,
2619.0999999940395,,attentioncheck_feedback,88797,,,,cross_check_feedback,0,,,1,,,,,,,,,,,,
null,,prac_atten_color_black,89500,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color,90201,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,92202,,,,black_plus_sign,,,null,,,,,,,,,,,,,
2583.2999999970198,,attentioncheck_help,94787,,,,instruct,,,32,,,,,,,,,,,,,
null,,prac_atten_color_black,95490,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color,96281,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,
1012.6999999880791,,prac_atten_color_black,98283,,,,black_plus_sign,,,50,,,,,,,,,,,,,
null,,prac_atten_color_black,98896,,,,black_plus_sign,,,null,,,,,,,,,,,,,
599.6999999880791,,prac_atten_color,99946,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,
null,,prac_atten_color_black,101949,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,102303,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color,103003,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,105004,,,,black_plus_sign,,,null,,,,,,,,,,,,,
2078.2000000029802,,attentioncheck_help,107084,,,,instruct,,,32,,,,,,,,,,,,,
null,,prac_atten_color_black,107788,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color,108296,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,
398.20000000298023,,prac_atten_color_black,110297,,,,black_plus_sign,,,50,,,,,,,,,,,,,
null,,prac_atten_color_black,111195,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color,111864,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,
7.200000002980232,,prac_atten_color_black,113865,,,,black_plus_sign,,,50,,,,,,,,,,,,,
null,,prac_atten_color_black,114600,,,,black_plus_sign,,,null,,,,,,,,,,,,,
630.4000000059605,,prac_atten_color,115561,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,
null,,prac_atten_color_black,117563,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,118006,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color,118599,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,120599,,,,black_plus_sign,,,null,,,,,,,,,,,,,
1094.300000011921,,attentioncheck_help,121695,,,,instruct,,,32,,,,,,,,,,,,,
null,,prac_atten_color_black,122508,,,,black_plus_sign,,,null,,,,,,,,,,,,,
463.40000000596046,,prac_atten_color,123271,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,
null,,prac_atten_color_black,125284,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,125925,,,,black_plus_sign,,,null,,,,,,,,,,,,,
360.8999999910593,,prac_atten_color,126817,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,50,,,,,,,,,,,,,
null,,prac_atten_color_black,128819,,,,black_plus_sign,,,null,,,,,,,,,,,,,
2027.2999999970198,,attentioncheck_feedback,130847,,,,cross_check_feedback,0,,,2,,,,,,,,,,,,
null,,prac_atten_color_black,131541,,,,black_plus_sign,,,null,,,,,,,,,,,,,
679.1000000089407,,prac_atten_color,132250,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,
null,,prac_atten_color_black,134252,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,134947,,,,black_plus_sign,,,null,,,,,,,,,,,,,
641,,prac_atten_color,135884,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,
null,,prac_atten_color_black,137885,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,138353,,,,black_plus_sign,,,null,,,,,,,,,,,,,
438.20000000298023,,prac_atten_color,139300,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,49,,,,,,,,,,,,,
null,,prac_atten_color_black,141301,,,,black_plus_sign,,,null,,,,,,,,,,,,,
1568.9000000059605,,attentioncheck_help,142871,,,,instruct,,,32,,,,,,,,,,,,,
null,,prac_atten_color_black,143326,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color,143863,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,null,,,,,,,,,,,,,
336.19999998807907,,prac_atten_color_black,145865,,,,black_plus_sign,,,50,,,,,,,,,,,,,
2974.699999988079,,attentioncheck_help,148841,,,,instruct,,,32,,,,,,,,,,,,,
null,,prac_atten_color_black,149715,,,,black_plus_sign,,,null,,,,,,,,,,,,,
495.70000000298023,,prac_atten_color,150466,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,49,,,,,,,,,,,,,
null,,prac_atten_color_black,152467,,,,black_plus_sign,,,null,,,,,,,,,,,,,
1117.5,,attentioncheck_help,153586,,,,instruct,,,32,,,,,,,,,,,,,
null,,prac_atten_color_black,154240,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color,154850,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,null,,,,,,,,,,,,,
129.90000000596046,,prac_atten_color_black,156852,,,,black_plus_sign,,,50,,,,,,,,,,,,,
null,,prac_atten_color_black,157646,,,,black_plus_sign,,,null,,,,,,,,,,,,,
435,,prac_atten_color,158288,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,
null,,prac_atten_color_black,160289,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,161052,,,,black_plus_sign,,,null,,,,,,,,,,,,,
595.0999999940395,,prac_atten_color,161800,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: green;'>+</p>,,,50,,,,,,,,,,,,,
null,,prac_atten_color_black,163801,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,164472,,,,black_plus_sign,,,null,,,,,,,,,,,,,
544.8999999910593,,prac_atten_color,165019,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,
null,,prac_atten_color_black,167021,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_atten_color_black,167880,,,,black_plus_sign,,,null,,,,,,,,,,,,,
513,,prac_atten_color,168548,,,,<p style='position:absolute;top: 50%;right: 50%;transform: translate(50%, -50%);font-size: 125px;color: blue;'>+</p>,,,49,,,,,,,,,,,,,
null,,prac_atten_color_black,170550,,,,black_plus_sign,,,null,,,,,,,,,,,,,
1521.5,,attentioncheck_feedback,172073,,,,cross_check_feedback,0,,,,,,,,,,,,,,,
1951.5,,last_instruct,174026,,,,instruct,,,32,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),177529,,,,black_plus_sign,,,null,,object_07c.png,object_08a.png,,,,,,,,,,
null,,prac_black_cross(without_color),178248,,,,blue,,,null,,object_07c.png,object_08a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,178750,,,,blue,,,null,,object_07c.png,object_08a.png,,,,,,,,,,
902.7999999970198,,prac_rt_thecrossant_black,180034,,,,black_plus_sign,,,49,,,,1,1,,,,,,,,
null,,prac_color_black,180137,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),183640,,,,black_plus_sign,,,null,,object_02b.png,object_13c.png,,,,,,,,,,
null,,black_cross(without_color)1,184352,,,,green,,,null,,object_07c.png,object_08a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,184854,,,,green,,,null,,object_02b.png,object_13c.png,,,,,,,,,,
1332.5,,prac_rt_thecrossant_black,185799,,,,black_plus_sign,,,50,,,,1,1,,,,,,,,
null,,prac_color_black,185901,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),189402,,,,black_plus_sign,,,null,,object_11c.png,object_13b.png,,,,,,,,,,
null,,black_cross(without_color)1,190115,,,,green,,,null,,object_07c.png,object_08a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,190617,,,,green,,,null,,object_11c.png,object_13b.png,,,,,,,,,,
1344.2999999970198,,prac_rt_thecrossant_black,191939,,,,black_plus_sign,,,50,,,,1,1,,,,,,,,
null,,prac_color_black,192041,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,prac_learn_phase(without_color),195543,,,,black_plus_sign,,,null,,object_09c.png,object_01c.png,,,,,,,,,,
null,,black_cross(without_color)1,196255,,,,green,,,null,,object_07c.png,object_08a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,196771,,,,blue,,,null,,object_09c.png,object_01c.png,,,,,,,,,,
852,,prac_rt_thecrossant_black,198201,,,,black_plus_sign,,,49,,,,1,1,,,,,,,,
null,,prac_color_black,198304,,,,black_plus_sign,,,null,,,,,,,,,,,,,
1345.2999999970198,,instruct_dir_01,199651,,,,instruct,0,Next,,,,,,,,,,,,,,
5346.5,,instruct_dir_2,204999,,,,instruct,1,Next,,,,,,,,,,,,,,
2304.3999999910593,,instruct_dir_3,207305,,,,instruct,1,Next,,,,,,,,,,,,,,
12426.699999988079,,instruct_dir_4,219733,,,,instruct,1,Start,,,,,,,,,,,,,,
null,,thebreak,219835,,,,<p></p>,,,null,,,,,,,,,,,,,
2023,,intro_0,221859,,,,instruct,,,32,,,,,,,,,,,,,
2613.5999999940395,,prac_directmemory_phase,224474,,,,practice/object_04a.png,,,49,,,,1,,practice/object_04b.png,practice/object_02b.png,practice/object_01a.png,practice/object_04b.png,1,1,,
6539.800000011921,,prac_directmemory_phase,231016,,,,practice/object_03a.png,,,50,,,,0,,practice/object_03b.png,practice/object_02b.png,practice/object_01a.png,practice/object_03b.png,0,0.5,,
3735.6000000089407,,prac_directmemory_phase,234753,,,,practice/object_02a.png,,,49,,,,1,,practice/object_02b.png,practice/object_03b.png,practice/object_04a.png,practice/object_02b.png,1,0.6666666666666666,,
5549.29999999702,,prac_directmemory_phase,240304,,,,practice/object_01a.png,,,50,,,,1,,practice/object_02a.png,practice/object_01b.png,practice/object_03b.png,practice/object_01b.png,1,0.75,,
3645.7000000029802,,practice_feedback,243951,,,,practice_feedback,1,,,,,,,,,,,,,,,
1406.5,,proceed_actualTask,245359,,,,proceed_actualTask,1,Continue,,,,,,,,,,,,,,
2369.5999999940395,,last_inst,247730,,,,last_inst,,,32,,,,,,,,,,,,,
null,,learn_phase(without_color)1,251231,,,,black_plus_sign,,,null,,object_07c.png,object_08a.png,,,,,,,,,,
null,,black_cross(without_color)1,251943,,,,green,,,null,,object_07c.png,object_08a.png,,,,,,,,,,
null,,rt_plussign_withcolor1,252445,,,,green,,,null,,object_07c.png,object_08a.png,,,,,,,,,,
1063.4000000059605,,rt_thecrossant_black1,253737,,,,black_plus_sign,,,50,,,,1,,,,,,,1,,
null,,color_black1,253839,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,257343,,,,black_plus_sign,,,null,,object_02b.png,object_13c.png,,,,,,,,,,
null,,black_cross(without_color)1,257861,,,,blue,,,null,,object_02b.png,object_13c.png,,,,,,,,,,
null,,rt_plussign_withcolor1,258363,,,,blue,,,null,,object_02b.png,object_13c.png,,,,,,,,,,
940.2999999970198,,rt_thecrossant_black1,259848,,,,black_plus_sign,,,49,,,,1,,,,,,,1,,
null,,color_black1,259951,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,263454,,,,black_plus_sign,,,null,,object_11c.png,object_13b.png,,,,,,,,,,
null,,black_cross(without_color)1,264035,,,,blue,,,null,,object_11c.png,object_13b.png,,,,,,,,,,
null,,rt_plussign_withcolor1,264536,,,,blue,,,null,,object_11c.png,object_13b.png,,,,,,,,,,
781.2000000029802,,rt_thecrossant_black1,265959,,,,black_plus_sign,,,49,,,,1,,,,,,,1,,
null,,color_black1,266060,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,269563,,,,black_plus_sign,,,null,,object_09c.png,object_01c.png,,,,,,,,,,
null,,black_cross(without_color)1,270415,,,,green,,,null,,object_09c.png,object_01c.png,,,,,,,,,,
null,,rt_plussign_withcolor1,270916,,,,green,,,null,,object_09c.png,object_01c.png,,,,,,,,,,
691.2000000029802,,rt_thecrossant_black1,272069,,,,black_plus_sign,,,49,,,,0,,,,,,,0.75,,
null,,color_black1,272171,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,275673,,,,black_plus_sign,,,null,,object_05c.png,object_02a.png,,,,,,,,,,
null,,black_cross(without_color)1,276297,,,,green,,,null,,object_05c.png,object_02a.png,,,,,,,,,,
482.90000000596046,,rt_plussign_withcolor1,276799,,,,green,,,50,,object_05c.png,object_02a.png,,,,,,,,,,
null,,rt_thecrossant_black1,278179,,,,black_plus_sign,,,null,,,,1,,,,,,,0.8,,
null,,color_black1,278281,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,281784,,,,black_plus_sign,,,null,,object_06a.png,object_14a.png,,,,,,,,,,
null,,black_cross(without_color)1,282500,,,,green,,,null,,object_06a.png,object_14a.png,,,,,,,,,,
null,,rt_plussign_withcolor1,283002,,,,green,,,null,,object_06a.png,object_14a.png,,,,,,,,,,
907.7000000029802,,rt_thecrossant_black1,284289,,,,black_plus_sign,,,50,,,,1,,,,,,,0.8333333333333334,,
null,,color_black1,284391,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,287893,,,,black_plus_sign,,,null,,object_09c.png,object_04b.png,,,,,,,,,,
null,,black_cross(without_color)1,288969,,,,green,,,null,,object_09c.png,object_04b.png,,,,,,,,,,
null,,rt_plussign_withcolor1,289471,,,,green,,,null,,object_09c.png,object_04b.png,,,,,,,,,,
953.7000000029802,,rt_thecrossant_black1,290399,,,,black_plus_sign,,,50,,,,1,,,,,,,0.8571428571428571,,
null,,color_black1,290501,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,294003,,,,black_plus_sign,,,null,,object_04c.png,object_08c.png,,,,,,,,,,
null,,black_cross(without_color)1,294629,,,,blue,,,null,,object_04c.png,object_08c.png,,,,,,,,,,
438.6000000089407,,rt_plussign_withcolor1,295144,,,,blue,,,49,,object_04c.png,object_08c.png,,,,,,,,,,
null,,rt_thecrossant_black1,296522,,,,black_plus_sign,,,null,,,,1,,,,,,,0.875,,
null,,color_black1,296624,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,300127,,,,black_plus_sign,,,null,,object_10b.png,object_01b.png,,,,,,,,,,
null,,black_cross(without_color)1,300615,,,,blue,,,null,,object_10b.png,object_01b.png,,,,,,,,,,
null,,rt_plussign_withcolor1,301116,,,,blue,,,null,,object_10b.png,object_01b.png,,,,,,,,,,
729.3999999910593,,rt_thecrossant_black1,302634,,,,black_plus_sign,,,49,,,,1,,,,,,,0.8888888888888888,,
null,,color_black1,302737,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,306240,,,,black_plus_sign,,,null,,object_03b.png,object_03c.png,,,,,,,,,,
null,,black_cross(without_color)1,307021,,,,green,,,null,,object_03b.png,object_03c.png,,,,,,,,,,
null,,rt_plussign_withcolor1,307523,,,,green,,,null,,object_03b.png,object_03c.png,,,,,,,,,,
796.3999999910593,,rt_thecrossant_black1,308744,,,,black_plus_sign,,,50,,,,1,,,,,,,0.9,,
null,,color_black1,308848,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,312351,,,,black_plus_sign,,,null,,object_14c.png,object_15b.png,,,,,,,,,,
null,,black_cross(without_color)1,313035,,,,green,,,null,,object_14c.png,object_15b.png,,,,,,,,,,
null,,rt_plussign_withcolor1,313537,,,,green,,,null,,object_14c.png,object_15b.png,,,,,,,,,,
934,,rt_thecrossant_black1,314857,,,,black_plus_sign,,,50,,,,1,,,,,,,0.9090909090909091,,
null,,color_black1,314959,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,318462,,,,black_plus_sign,,,null,,object_13a.png,object_03c.png,,,,,,,,,,
null,,black_cross(without_color)1,318963,,,,green,,,null,,object_13a.png,object_03c.png,,,,,,,,,,
null,,rt_plussign_withcolor1,319464,,,,green,,,null,,object_13a.png,object_03c.png,,,,,,,,,,
892.2999999970198,,rt_thecrossant_black1,320967,,,,black_plus_sign,,,50,,,,1,,,,,,,0.9166666666666666,,
null,,color_black1,321069,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,324571,,,,black_plus_sign,,,null,,object_11a.png,object_08c.png,,,,,,,,,,
null,,black_cross(without_color)1,325278,,,,blue,,,null,,object_11a.png,object_08c.png,,,,,,,,,,
456.8999999910593,,rt_plussign_withcolor1,325780,,,,blue,,,49,,object_11a.png,object_08c.png,,,,,,,,,,
null,,rt_thecrossant_black1,327076,,,,black_plus_sign,,,null,,,,1,,,,,,,0.9230769230769231,,
null,,color_black1,327179,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,330681,,,,black_plus_sign,,,null,,object_03a.png,object_08b.png,,,,,,,,,,
null,,black_cross(without_color)1,331149,,,,green,,,null,,object_03a.png,object_08b.png,,,,,,,,,,
null,,rt_plussign_withcolor1,331650,,,,green,,,null,,object_03a.png,object_08b.png,,,,,,,,,,
1050.5999999940395,,rt_thecrossant_black1,333187,,,,black_plus_sign,,,50,,,,1,,,,,,,0.9285714285714286,,
null,,color_black1,333305,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,336806,,,,black_plus_sign,,,null,,object_14b.png,object_02b.png,,,,,,,,,,
null,,black_cross(without_color)1,337767,,,,blue,,,null,,object_14b.png,object_02b.png,,,,,,,,,,
498.40000000596046,,rt_plussign_withcolor1,338268,,,,blue,,,49,,object_14b.png,object_02b.png,,,,,,,,,,
null,,rt_thecrossant_black1,339310,,,,black_plus_sign,,,null,,,,1,,,,,,,0.9333333333333333,,
null,,color_black1,339412,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,342915,,,,black_plus_sign,,,null,,object_10b.png,object_10a.png,,,,,,,,,,
null,,black_cross(without_color)1,343558,,,,green,,,null,,object_10b.png,object_10a.png,,,,,,,,,,
null,,rt_plussign_withcolor1,344060,,,,green,,,null,,object_10b.png,object_10a.png,,,,,,,,,,
1329.5999999940395,,rt_thecrossant_black1,345421,,,,black_plus_sign,,,50,,,,1,,,,,,,0.9375,,
null,,color_black1,345523,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,349026,,,,black_plus_sign,,,null,,object_03a.png,object_12c.png,,,,,,,,,,
null,,black_cross(without_color)1,349521,,,,green,,,null,,object_03a.png,object_12c.png,,,,,,,,,,
null,,rt_plussign_withcolor1,350022,,,,green,,,null,,object_03a.png,object_12c.png,,,,,,,,,,
815.2000000029802,,rt_thecrossant_black1,351533,,,,black_plus_sign,,,50,,,,1,,,,,,,0.9411764705882353,,
null,,color_black1,351634,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,355138,,,,black_plus_sign,,,null,,object_05a.png,object_09a.png,,,,,,,,,,
null,,black_cross(without_color)1,355635,,,,green,,,null,,object_05a.png,object_09a.png,,,,,,,,,,
null,,rt_plussign_withcolor1,356137,,,,green,,,null,,object_05a.png,object_09a.png,,,,,,,,,,
718.2000000029802,,rt_thecrossant_black1,357646,,,,black_plus_sign,,,50,,,,1,,,,,,,0.9444444444444444,,
null,,color_black1,357757,,,,black_plus_sign,,,null,,,,,,,,,,,,,
null,,learn_phase(without_color)1,361259,,,,black_plus_sign,,,null,,object_10c.png,object_05c.png,,,,,,,,,,
null,,black_cross(without_color)1,362038,,,,green,,,null,,object_10c.png,object_05c.png,,,,,,,,,,
null,,rt_plussign_withcolor1,362539,,,,green,,,null,,object_10c.png,object_05c.png,,,,,,,,,,
