rt,responses,trial_type,time_elapsed,identifier_a,identifier_b,identifier_c,stimulus,button_pressed,response,key_press,stimulus_left,stimulus_right,practice_cumulative_accuracy,accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,prac_weighted_accuracy,cumulative_accuracy,failed_practice,completion_code
null,,prac_learn_phase(without_color),630936,,,,black_plus_sign,,,null,object_14a.png,object_14c.png,,,,,,,,,,
null,,black_cross(without_color)1,634694,,,,blue,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,635256,,,,green,,,null,object_14a.png,object_14c.png,,,,,,,,,,
1414,,prac_rt_thecrossant_black,636522,,,,black_plus_sign,,,50,,,0.8,1,,,,,,,,
null,,prac_color_black,636632,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_learn_phase(without_color),640164,,,,black_plus_sign,,,null,object_09c.png,object_10b.png,,,,,,,,,,
null,,black_cross(without_color)1,640584,,,,blue,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,641100,,,,green,,,null,object_09c.png,object_10b.png,,,,,,,,,,
null,,prac_rt_thecrossant_black,642616,,,,black_plus_sign,,,null,,,0.8,,,,,,,,,
null,,prac_color_black,642725,,,,black_plus_sign,,,null,,,,,,,,,,,,
2494,,instruct_dir_01,645233,,,,instruct,0,Next,,,,,,,,,,,,,
3208,,instruct_dir_2,648469,,,,instruct,1,Next,,,,,,,,,,,,,
3780,,instruct_dir_3,652262,,,,instruct,1,Next,,,,,,,,,,,,,
26669,,instruct_dir_4,678937,,,,instruct,1,Start,,,,,,,,,,,,,
null,,thebreak,679047,,,,<p></p>,,,null,,,,,,,,,,,,
1891,,intro_0,680945,,,,instruct,,,32,,,,,,,,,,,,
9854,,prac_directmemory_phase,690814,,,,practice/object_04a.png,,,51,,,,0,practice/object_04b.png,practice/object_01b.png,practice/object_02a.png,practice/object_04b.png,0,0,,
4534,,prac_directmemory_phase,695584,,,,practice/object_03a.png,,,50,,,,0,practice/object_02b.png,practice/object_02a.png,practice/object_03b.png,practice/object_03b.png,0,0,,
5989,,prac_directmemory_phase,701697,,,,practice/object_02a.png,,,50,,,,1,practice/object_03a.png,practice/object_02b.png,practice/object_03b.png,practice/object_02b.png,1,0.3333333333333333,,
10698,,prac_directmemory_phase,712528,,,,practice/object_01a.png,,,49,,,,1,practice/object_01b.png,practice/object_02b.png,practice/object_04a.png,practice/object_01b.png,1,0.5,,
8345,,practice_feedback_force_restart,720984,,,,practice_feedback,0,,,,,,,,,,,,,2,
2781,,last_instruct,723778,,,,instruct,,,32,,,,,,,,,,,,
null,,prac_learn_phase(without_color),727314,,,,black_plus_sign,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_black_cross(without_color),728248,,,,blue,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,728764,,,,blue,,,null,object_09a.png,object_06a.png,,,,,,,,,,
1499,,prac_rt_thecrossant_black,729858,,,,black_plus_sign,,,49,,,0.8333333333333334,1,,,,,,,,
null,,prac_color_black,729967,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_learn_phase(without_color),733483,,,,black_plus_sign,,,null,object_08c.png,object_07b.png,,,,,,,,,,
null,,black_cross(without_color)1,733906,,,,blue,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,734421,,,,blue,,,null,object_08c.png,object_07b.png,,,,,,,,,,
1325,,prac_rt_thecrossant_black,735765,,,,black_plus_sign,,,49,,,0.8571428571428571,1,,,,,,,,
null,,prac_color_black,735874,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_learn_phase(without_color),739389,,,,black_plus_sign,,,null,object_14a.png,object_14c.png,,,,,,,,,,
null,,black_cross(without_color)1,739811,,,,blue,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,740327,,,,green,,,null,object_14a.png,object_14c.png,,,,,,,,,,
969,,prac_rt_thecrossant_black,741874,,,,black_plus_sign,,,50,,,0.875,1,,,,,,,,
null,,prac_color_black,741983,,,,black_plus_sign,,,null,,,,,,,,,,,,
null,,prac_learn_phase(without_color),745499,,,,black_plus_sign,,,null,object_09c.png,object_10b.png,,,,,,,,,,
null,,black_cross(without_color)1,745920,,,,blue,,,null,object_09a.png,object_06a.png,,,,,,,,,,
null,,prac_rt_plussign_withcolor,746436,,,,green,,,null,object_09c.png,object_10b.png,,,,,,,,,,
921,,prac_rt_thecrossant_black,748030,,,,black_plus_sign,,,50,,,0.8888888888888888,1,,,,,,,,
null,,prac_color_black,748140,,,,black_plus_sign,,,null,,,,,,,,,,,,
3489,,instruct_dir_01,751631,,,,instruct,0,Next,,,,,,,,,,,,,
2047,,instruct_dir_2,753690,,,,instruct,1,Next,,,,,,,,,,,,,
17125,,instruct_dir_3,770860,,,,instruct,1,Next,,,,,,,,,,,,,
19690,,instruct_dir_4,790617,,,,instruct,1,Start,,,,,,,,,,,,,
null,,thebreak,790757,,,,<p></p>,,,null,,,,,,,,,,,,
3133,,intro_0,793946,,,,instruct,,,32,,,,,,,,,,,,
6030,,prac_directmemory_phase,800419,,,,practice/object_04a.png,,,51,,,,0,practice/object_04b.png,practice/object_01b.png,practice/object_02a.png,practice/object_04b.png,0,0,,
3788,,prac_directmemory_phase,804258,,,,practice/object_03a.png,,,50,,,,0,practice/object_02b.png,practice/object_02a.png,practice/object_03b.png,practice/object_03b.png,0,0,,
4951,,prac_directmemory_phase,809213,,,,practice/object_02a.png,,,49,,,,0,practice/object_03a.png,practice/object_02b.png,practice/object_03b.png,practice/object_02b.png,0,0,,
5697,,prac_directmemory_phase,814916,,,,practice/object_01a.png,,,50,,,,0,practice/object_01b.png,practice/object_02b.png,practice/object_04a.png,practice/object_01b.png,0,0,,
130128,,html-keyboard-response,945061,,,,<p>Unfortunately, you do not qualify to continue this experiment. Please return the experiment<p>Please press <strong>SpaceBar</strong> to close the window.</p>,,,32,,,,,,,,,,,,C78LSMTN
